"Year","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1968,"Rod Laver",1,"AUS","Tony Roche",15,"AUS","6–3, 6–4, 6–2"
1969,"Rod Laver",1,"AUS","John Newcombe",6,"AUS","6–4, 5–7, 6–4, 6–4"
1970,"John Newcombe",2,"AUS","Ken Rosewall",5,"AUS","5–7, 6–3, 6–2, 3–6, 6–1"
1971,"John Newcombe",2,"AUS","Stan Smith",4,"USA","6–3, 5–7, 2–6, 6–4, 6–4"
1972,"Stan Smith",1,"USA","Ilie Năstase",2,"ROM","4–6, 6–3, 6–3, 4–6, 7–5"
1973,"Jan Kodeš",2,"TCH","Alex Metreveli",4,"URS","6–1, 9–8(7–5), 6–3"
1974,"Jimmy Connors",3,"USA","Ken Rosewall",9,"AUS","6–1, 6–1, 6–4"
1975,"Arthur Ashe",6,"USA","Jimmy Connors",1,"USA","6–1, 6–1, 5–7, 6–4"
1976,"Björn Borg",4,"SWE","Ilie Năstase",3,"ROM","6–4, 6–2, 9–7"
1977,"Björn Borg",2,"SWE","Jimmy Connors",1,"USA","3–6, 6–2, 6–1, 5–7, 6–4"
1978,"Björn Borg",1,"SWE","Jimmy Connors",2,"USA","6–2, 6–2, 6–3"
1979,"Björn Borg",1,"SWE","Roscoe Tanner",5,"USA","6–7(4–7), 6–1, 3–6, 6–3, 6–4"
1980,"Björn Borg",1,"SWE","John McEnroe",2,"USA","1–6, 7–5, 6–3, 6–7(16–18), 8–6"
1981,"John McEnroe",2,"USA","Björn Borg",1,"SWE","4–6, 7–6(7–1), 7–6(7–4), 6–4"
1982,"Jimmy Connors",2,"USA","John McEnroe",1,"USA","3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4"
1983,"John McEnroe",2,"USA","Chris Lewis",0,"NZL","6–2, 6–2, 6–2"
1984,"John McEnroe",1,"USA","Jimmy Connors",3,"USA","6–1, 6–1, 6–2"
1985,"Boris Becker",0,"FRG","Kevin Curren",8,"USA","6–3, 6–7(4–7), 7–6(7–3), 6–4"
1986,"Boris Becker",4,"FRG","Ivan Lendl",1,"TCH","6–4, 6–3, 7–5"
1987,"Pat Cash",11,"AUS","Ivan Lendl",2,"TCH","7–6(7–5), 6–2, 7–5"
1988,"Stefan Edberg",3,"SWE","Boris Becker",6,"FRG","4–6, 7–6(7–2), 6–4, 6–2"
1989,"Boris Becker",3,"FRG","Stefan Edberg",2,"SWE","6–0, 7–6(7–1), 6–4"
1990,"Stefan Edberg",3,"SWE","Boris Becker",2,"FRG","6–2, 6–2, 3–6, 3–6, 6–4"
1991,"Michael Stich",6,"GER","Boris Becker",2,"GER","6–4, 7–6(7–4), 6–4"
1992,"Andre Agassi",12,"USA","Goran Ivanišević",8,"CRO","6–7(8–10), 6–4, 6–4, 1–6, 6–4"
1993,"Pete Sampras",1,"USA","Jim Courier",3,"USA","7–6(7–3), 7–6(8–6), 3–6, 6–3"
1994,"Pete Sampras",1,"USA","Goran Ivanišević",4,"CRO","7–6(7–2), 7–6(7–5), 6–0"
1995,"Pete Sampras",2,"USA","Boris Becker",3,"GER","6–7(5–7), 6–2, 6–4, 6–2"
1996,"Richard Krajicek",17,"NED","MaliVai Washington",0,"USA","6–3, 6–4, 6–3"
1997,"Pete Sampras",1,"USA","Cédric Pioline",0,"FRA","6–4, 6–2, 6–4"
1998,"Pete Sampras",1,"USA","Goran Ivanišević",14,"CRO","6–7(2–7), 7–6(11–9), 6–4, 3–6, 6–2"
1999,"Pete Sampras",1,"USA","Andre Agassi",4,"USA","6–3, 6–4, 7–5"
2000,"Pete Sampras",1,"USA","Patrick Rafter",12,"AUS","6–7(10–12), 7–6(7–5), 6–4, 6–2"
2001,"Goran Ivanišević",999,"CRO","Patrick Rafter",3,"AUS","6–3, 3–6, 6–3, 2–6, 9–7"
2002,"Lleyton Hewitt",1,"AUS","David Nalbandian",28,"ARG","6–1, 6–3, 6–2"
2003,"Roger Federer",4,"SUI","Mark Philippoussis",0,"AUS","7–6(7–5), 6–2, 7–6(7–3)"
2004,"Roger Federer",1,"SUI","Andy Roddick",2,"USA","4–6, 7–5, 7–6(7–3), 6–4"
2005,"Roger Federer",1,"SUI","Andy Roddick",2,"USA","6–2, 7–6(7–2), 6–4"
2006,"Roger Federer",1,"SUI","Rafael Nadal",2,"ESP","6–0, 7–6(7–5), 6–7(2–7), 6–3"
2007,"Roger Federer",1,"SUI","Rafael Nadal",2,"ESP","7–6(9–7), 4–6, 7–6(7–3), 2–6, 6–2"
2008,"Rafael Nadal",2,"ESP","Roger Federer",1,"SUI","6–4, 6–4, 6–7(5–7), 6–7(8–10), 9–7"
2009,"Roger Federer",2,"SUI","Andy Roddick",6,"USA","5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14"
2010,"Rafael Nadal",2,"ESP","Tomáš Berdych",12,"CZE","6–3, 7–5, 6–4"
2011,"Novak Djokovic",2,"SRB","Rafael Nadal",1,"ESP","6–4, 6–1, 1–6, 6–3"
2012,"Roger Federer",3,"SUI","Andy Murray",4,"GBR","4–6, 7–5, 6–3, 6–4"
2013,"Andy Murray",2,"GBR","Novak Djokovic",1,"SRB","6–4, 7–5, 6–4"
2014,"Novak Djokovic",1,"SRB","Roger Federer",4,"SUI","6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
2015,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","7–6(7–1), 6–7(10–12), 6–4, 6–3"
2016,"Andy Murray",2,"GBR","Milos Raonic",6,"CAN","6–4, 7–6(7–3), 7–6(7–2)"
2017,"Roger Federer",3,"SUI","Marin Čilić",7,"CRO","6–3, 6–1, 6–4"
2018,"Novak Djokovic",12,"SRB","Kevin Anderson",8,"RSA","6-2, 6-2, 7-6(7-3)"
2019,"Novak Djokovic",1,"SRB","Roger Federer",2,"SUI","7-6(7-5), 1-6, 7-6(7-4), 4-6, 13-12(7-3)"
